start: 2010-02-18 ,end: 2010-03-18
symbol,mean,std-deviation,z-value,lookback years
PM,0.090395480226,0.0,inf,1
MJN,0.0601073345259,0.0,inf,1
SNI,0.0256166982922,0.0,inf,1
LO,0.0108435656195,0.0,inf,1
V,0.0099732858415,0.0,inf,1
MXB,0.0461840880091,0.0105137313055,4.39273999563,2
DFS,0.197366238311,0.0481598891048,4.09814561412,2
SE,0.0239684330004,0.00683649173167,3.50595509234,3
TDC,0.127288319292,0.045314420434,2.80900247809,2
HSY,0.0205286624089,0.00795271686075,2.58133953067,10
SUN,0.0761244037677,0.0336600075794,2.26156823014,10
FLS,0.107271840839,0.0475510003771,2.2559323671,10
FTI,0.0999331619722,0.0447789206726,2.2317009984,8
WU,0.027121093255,0.0125018300339,2.16936985877,3
MET,0.0398688803607,0.0192931455335,2.06647901409,9
CINF,0.0383560035896,0.018939399457,2.02519639954,10
WIN,0.0453162655306,0.0232632144201,1.94797953164,5
M,0.103200165124,0.0532979276107,1.93628851533,10
WY,0.0712837084342,0.0370949544776,1.92165509941,10
VTR,0.0648584841541,0.0341910460224,1.89694354808,10
AIV,0.0576140442545,0.0307394020983,1.87427341854,10
SLM,0.0499298236448,0.027142673528,1.83953226248,10
JEC,0.0749504461919,0.0415485113588,1.8039261514,10
PCL,0.0443842982609,0.0246153656551,1.80311350572,10
EQR,0.0488140204428,0.0275027000484,1.77488102466,10
PLD,0.0523267984564,0.029653533842,1.76460582186,10
TROW,0.0765615730424,0.0435710245566,1.75716714999,10
VNO,0.0495029148371,0.0285728348564,1.73251674487,10
MMM,0.0273091214589,0.0159074708378,1.71674817055,10
MWV,0.064514011766,0.0380028601991,1.6976093754,10
KIM,0.0553715327715,0.0328243290298,1.68690524401,10
SPLS,0.0899203390984,0.0535400237378,1.67949755754,10
NSM,0.159311240299,0.0962639422437,1.65494199164,10
CTL,0.0487534871337,0.0295206448329,1.65150481671,10
PCS,0.184057659208,0.11262908778,1.63419293219,2
BXP,0.0565339911661,0.0346405542335,1.63201751292,10
HCP,0.0460838738706,0.0286888607488,1.60633335266,10
FSLR,0.09451611521,0.0590106081231,1.60168007442,3
XLNX,0.122811460164,0.0770846087519,1.59320339239,10
AMP,0.0492611774304,0.0310644472773,1.5857735047,4
HES,0.0933590953848,0.0598459246099,1.55999085975,10
RRD,0.029074054681,0.0188455639634,1.54275323028,10
CSCO,0.064332835751,0.0419310346987,1.53425347629,10
GIS,0.0281100990905,0.018471905107,1.52177584974,10
BEN,0.0480344237969,0.0317424935193,1.51325300792,10
TLAB,0.0786818018141,0.0529170472705,1.48688949729,10
HSP,0.0507411349923,0.0342831248632,1.480061552,5
AAPL,0.0961049341842,0.0649827086203,1.47893087599,10
KLAC,0.109832250787,0.0742930847691,1.47836438787,10
PHM,0.113604664468,0.0770292198737,1.47482558767,10
PX,0.0497244515274,0.0339829086841,1.46321940802,10
DNR,0.107213947373,0.073328794779,1.46209886166,10
EXC,0.0401532127759,0.0275936364604,1.45516205642,10
EQT,0.0769426617738,0.0528943908456,1.45464690195,10
IGT,0.0663311579954,0.0457823540436,1.44883677087,10
APOL,0.066230764998,0.0459223656748,1.44223330015,10
PXD,0.107793152115,0.0750300859489,1.43666571552,10
AVY,0.0353322753828,0.0246660292781,1.43242655656,10
ATVI,0.0905046428338,0.0633827551801,1.42790641676,10
MFE,0.140569488193,0.0995464489072,1.41209947453,10
R,0.0675234581787,0.0479674420716,1.40769353675,10
PBCT,0.0612493303854,0.043522189858,1.40731269693,10
KMB,0.0192163031014,0.0136779296816,1.40491313735,10
BLL,0.0503378619039,0.035898906347,1.40221157206,10
COG,0.113501751965,0.0811173764913,1.39922858548,10
WEC,0.0264114984893,0.0189380375835,1.39462699727,10
SII,0.113589021867,0.0821647531606,1.38245436757,10
SLB,0.0889138673496,0.0643438714158,1.3818544858,10
HOT,0.0726809368966,0.0527717965261,1.37726857301,10
GME,0.0825246163582,0.060197962679,1.3708871976,8
XRAY,0.0337707853728,0.0246985625527,1.36731784697,10
TMK,0.0481411662779,0.0352591444969,1.36535264723,10
CVX,0.0500898393252,0.0368358878218,1.35981083359,10
MKC,0.0567322386789,0.0418948865388,1.35415663738,10
ANF,0.0960521123415,0.0710862765619,1.35120471893,10
TER,0.08516920189,0.0632888416687,1.34572224178,10
ALTR,0.134034993612,0.0996449002204,1.34512647728,10
FE,0.0249471465662,0.0185804913429,1.34265268371,10
COH,0.0933343315864,0.0698171708055,1.33683921175,9
MON,0.076361565203,0.0571849929906,1.33534273958,9
TXN,0.0973336852294,0.0729891933479,1.33353556554,10
SRCL,0.0901373184353,0.06761634175,1.33307002571,10
WAG,0.0411293597734,0.0308702720819,1.33232903372,10
BAX,0.0360534150638,0.0270687936399,1.33191805824,10
SPG,0.0452539069084,0.0340885216877,1.32754090432,10
FTR,0.0718108032306,0.0541624989092,1.32583992018,10
SBUX,0.0827497981368,0.0625483387651,1.32297355566,10
CB,0.039516704884,0.029875167016,1.32272749681,10
FPL,0.0424391502782,0.0321438076674,1.32029007631,10
DHI,0.0991680722603,0.0754130424578,1.31499895812,10
MSFT,0.0441678410365,0.033690372643,1.31099295056,10
PCG,0.0572819606385,0.0437843820432,1.30827381741,10
MWW,0.116396615556,0.0890924671648,1.30646977528,10
CF,0.137590398115,0.105947271255,1.29866863474,4
MO,0.0435777457637,0.0336846836511,1.29369615625,10
GLW,0.117978818246,0.091205923022,1.29354338333,10
VLO,0.0917530184469,0.0711399719865,1.28975336769,10
HAS,0.0771347421578,0.0598414748133,1.28898464482,10
FMC,0.0645275779337,0.0501583051433,1.28647843561,10
EOG,0.120304610614,0.0937851328165,1.28276846234,10
AVB,0.0607759791316,0.0474101062423,1.28192033194,10
FII,0.042187684112,0.0329706241473,1.27955369979,10
DVN,0.0886857444826,0.0698339771674,1.26995121973,10
IRM,0.0757516388102,0.060019559594,1.26211587227,10
CDNS,0.088806777993,0.0706000064465,1.25788625898,10
AZO,0.0837286936932,0.0666019427866,1.25715092068,10
ICE,0.21877824584,0.174173491402,1.25609381818,4
CPWR,0.0501012960376,0.0399108937896,1.25532884084,10
SJM,0.0410434636323,0.0327965343891,1.25145733831,9
HCN,0.0467660518323,0.0374075978537,1.25017521882,10
LLY,0.0372695759009,0.0298837743326,1.24715089486,10
